SIG_CD,SIG_ENG_NM,SIG_KOR_NM,x,y,region
41133,"Jungwon-gu, Seongnam-si",성남시 중원구,970266.5759,1937194.278,경기도/성남시/중원구
41135,"Bundang-gu, Seongnam-si",성남시 분당구,965123.9267,1931208.643,경기도/성남시/분당구
41150,Uijeongbu-si,의정부시,961973.2742,1970818.278,경기도/의정부시
41171,"Manan-gu, Anyang-si",안양시 만안구,947905.0123,1934053.508,경기도/안양시/만안구
41173,"Dongan-gu, Anyang-si",안양시 동안구,951807.7939,1933614.71,경기도/안양시/동안구
41190,Bucheon-si,부천시,937132.251,1945236.34,경기도/부천시
41190,Bucheon-si,부천시 소사구,937132.251,1945236.34,경기도/부천시/소사구
41190,Bucheon-si,부천시 원미구,937132.251,1945236.34,경기도/부천시/원미구
41210,Gwangmyeong-si,광명시,943803.9212,1938632.699,경기도/광명시
41220,Pyeongtaek-si,평택시,954424.5202,1890492.428,경기도/평택시
41250,Dongducheon-si,동두천시,962899.8222,1990823.717,경기도/동두천시
41271,"Sangnok-gu, Ansan-si",안산시 상록구,944249.8209,1924299.188,경기도/안산시/상록구
41273,"Danwon-gu, Ansan-si",안산시 단원구,928553.9478,1920637.339,경기도/안산시/단원구
41281,"Deogyang-gu, Goyang-si",고양시 덕양구,945191.2706,1961994.076,경기도/고양시/덕양구
41285,"Ilsandong-gu, Goyang-si",고양시 일산동구,938059.9311,1964713.432,경기도/고양시/일산동구
41285,"Ilsandong-gu, Goyang-si",고양시 일산동구,938059.9311,1964713.432,경기도/일산동구
41287,"Ilsanseo-gu, Goyang-si",고양시 일산서구,931925.1845,1964799.407,경기도/고양시/일산서구
41290,Gwacheon-si,과천시,956002.9039,1937303.051,경기도/과천시
41310,Guri-si,구리시,967447.5066,1955598.226,경기도/구리시
41360,Namyangju-si,남양주시,977391.3277,1962588.96,경기도/남양주시
41370,Osan-si,오산시,960164.497,1907266.188,경기도/오산시
41390,Siheung-si,시흥시,936613.2212,1932145.804,경기도/시흥시
41410,Gunpo-si,군포시,948727.2133,1927319.223,경기도/군포시
41430,Uiwang-si,의왕시,954805.1395,1929381.589,경기도/의왕시
41450,Hanam-si,하남시,974016.2308,1947098.004,경기도/하남시
41461,"Cheoin-gu, Yongin-si",용인시 처인구,978075.6195,1911642.588,경기도/용인시/처인구
41463,"Giheung-gu, Yongin-si",용인시 기흥구,966426.6945,1918792.255,경기도/용인시/기흥구
41465,"Suji-gu, Yongin-si",용인시 수지구,962045.3188,1926134.863,경기도/용인시/수지구
41480,Paju-si,파주시,939357.0886,1984270.957,경기도/파주시
41500,Icheon-si,이천시,998315.3624,1912329.052,경기도/이천시
41550,Anseong-si,안성시,982455.0507,1892961.22,경기도/안성시
41570,Gimpo-si,김포시,922971.9409,1965051.903,경기도/김포시
41590,Hwaseong-si,화성시,944497.6791,1907570.6,경기도/화성시
41610,Gwangju-si,광주시,982403.2315,1933793.587,경기도/광주시
41630,Yangju-si,양주시,956087.2816,1978887.699,경기도/양주시
41650,Pocheon-si,포천시,978071.2707,1996676.211,경기도/포천시
41670,Yeoju-si,여주시,1010256.923,1922617.182,경기도/여주시
41670,Yeoju-si,여주시 여주군,1010256.923,1922617.182,경기도/여주시/여주군
41800,Yeoncheon-gun,연천군,958301.0549,2010395.422,경기도/연천군
41820,Gapyeong-gun,가평군,995616.2424,1979856.263,경기도/가평군
41830,Yangpyeong-gun,양평군,1007004.505,1946532.439,경기도/양평군
42110,Chuncheon-si,춘천시,1021091.3,1987799.953,강원도/춘천시
42130,Wonju-si,원주시,1038062.756,1923336.882,강원도/원주시
42150,Gangneung-si,강릉시,1117442.568,1968560.373,강원도/강릉시
42170,Donghae-si,동해시,1137494.129,1946408.447,강원도/동해시
42190,Taebaek-si,태백시,1131397.257,1909198.369,강원도/태백시
42210,Sokcho-si,속초시,1089300.357,2020022.426,강원도/속초시
42230,Samcheok-si,삼척시,1143789.29,1921069.248,강원도/삼척시
42720,Hongcheon-gun,홍천군,1050592.832,1971868.485,강원도/홍천군
42730,Hoengseong-gun,횡성군,1051001.036,1945696.954,강원도/횡성군
42750,Yeongwol-gun,영월군,1088765.161,1912169.274,강원도/영월군
42760,Pyeongchang-gun,평창군,1086786.43,1951285.876,강원도/평창군
42770,Jeongseon-gun,정선군,1109700.094,1931787.763,강원도/정선군
42780,Cheorwon-gun,철원군,991154.719,2026532.373,강원도/철원군
42790,Hwacheon-gun,화천군,1016226.455,2015375.058,강원도/화천군
42800,Yanggu-gun,양구군,1043811.984,2019602.657,강원도/양구군
42810,Inje-gun,인제군,1067082.543,2007443.596,강원도/인제군
42820,Goseong-gun,고성군,1079602.136,2040642.362,강원도/고성군
42830,Yangyang-gun,양양군,1096142.758,2001066.213,강원도/양양군
43111,"Sangdang-gu, Cheongju-si",청주시 상당구,1007592.603,1843813.981,충청북도/청주시/상당구
43112,"Seowon-gu, Cheongju-si",청주시 서원구,994487.0451,1838837.673,충청북도/청주시/서원구
43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구,988315.0367,1849902.683,충청북도/청주시/흥덕구
43114,"Cheongwon-gu, Cheongju-si",청주시 청원구,999224.6581,1858061.027,충청북도/청주시/청원구
43114,"Cheongwon-gu, Cheongju-si",충청북도 청원군,999224.6581,1858061.027,충청북도/청원군
43130,Chungju-si,충주시,1035197.542,1890816.364,충청북도/충주시
43150,Jecheon-si,제천시,1056985.59,1895895.694,충청북도/제천시
43720,Boeun-gun,보은군,1020540.887,1832502.679,충청북도/보은군
43730,Okcheon-gun,옥천군,1014052.976,1813689.025,충청북도/옥천군
43740,Yeongdong-gun,영동군,1028263.484,1795887.912,충청북도/영동군
43745,Jeungpyeong-gun,증평군,1009334.471,1865375.638,충청북도/증평군
43750,Jincheon-gun,진천군,994693.7451,1874748.718,충청북도/진천군
43760,Goesan-gun,괴산군,1029413.723,1863556.016,충청북도/괴산군
43770,Eumseong-gun,음성군,1010164.834,1886425.747,충청북도/음성군
43800,Danyang-gun,단양군,1079003.275,1888810.323,충청북도/단양군
44131,"Dongnam-gu, Cheonan-si",천안시 동남구,975089.7701,1862926.942,충청남도/천안시/동남구
44133,"Seobuk-gu, Cheonan-si",천안시 서북구,969866.8559,1877208.891,충청남도/천안시/서북구
44150,Gongju-si,공주시,961948.6634,1831438.458,충청남도/공주시
44180,Boryeong-si,보령시,918605.1494,1816591.532,충청남도/보령시
44200,Asan-si,아산시,953622.5191,1867808.745,충청남도/아산시
44210,Seosan-si,서산시,907523.7096,1865596.336,충청남도/서산시
44230,Nonsan-si,논산시,969225.2506,1799360.199,충청남도/논산시
44250,Gyeryong-si,계룡시,976152.9011,1810508.938,충청남도/계룡시
44270,Dangjin-si,당진시,924518.3636,1878660.636,충청남도/당진시
44270,Dangjin-si,당진군,924518.3636,1878660.636,충청남도/당진군
44710,Geumsan-gun,금산군,998048.243,1791332.711,충청남도/금산군
44760,Buyeo-gun,부여군,942225.4635,1805653.264,충청남도/부여군
44770,Seocheon-gun,서천군,928378.2813,1790270.177,충청남도/서천군
44790,Cheongyang-gun,청양군,942015.8388,1826087.487,충청남도/청양군
44800,Hongseong-gun,홍성군,921783.1657,1841723.232,충청남도/홍성군
44810,Yesan-gun,예산군,936046.622,1852758.677,충청남도/예산군
